title,url
A Year in the Life of William Shakespeare 1599 by James Shapiro- google books,https://books.google.com/books/about/1599.html?id=8NfSNAAACAAJ
Lucy Sullivan Is Getting Married  by Marian Keyes- google books,https://books.google.com/books/about/Lucy_Sullivan_is_Getting_Married.html?id=V65XOLDO0dMC
The Terminal Man  by Michael Crichton- google books,https://books.google.com/books/about/The_Terminal_Man.html?id=YfVuDwAAQBAJ
The Art of the Novel  by Milan Kundera- google books,https://books.google.com/books/about/The_Art_of_the_Novel.html?id=Sca-B1cQnX0C
"The Bromeliad Trilogy Truckers, Diggers, and Wings by Terry Pratchett- google books",https://books.google.com/books/about/The_Bromeliad_Trilogy.html?id=tqxUPwAACAAJ
"Merry Christmas, Amelia Bedelia  by Peggy Parish- google books",https://books.google.com/books/about/Merry_Christmas_Amelia_Bedelia.html?id=-BlWcV33tAUC
Identity A Novel by Milan Kundera- google books,https://books.google.com/books/about/Identity.html?id=fU93EAAAQBAJ
The thief of always a fable by Clive Barker- google books,https://books.google.com/books/about/The_Thief_of_Always.html?id=uJ5IEQAAQBAJ
The Illustrated Alchemist A Fable About Following Your Dream by Paulo Coelho;Alan R. Clarke;Moebius- google books,https://books.google.com/books/about/The_Illustrated_Alchemist.html?id=1YX2usKBAMIC
Mars and Venus Book of Days 365 Inspriations to Enrich Your Relationships by John Gray- google books,https://books.google.com/books/about/Mars_and_Venus_Book_of_Days.html?id=VTOrNLxs0EIC
The Last of the Really Great Whangdoodles  by Julie Andrews Edwards- google books,https://books.google.com/books/about/The_Last_of_the_Really_Great_Whangdoodle.html?id=D4ODPwAACAAJ
Today I Feel Silly & Other Moods That Make My Day  by Jamie Lee Curtis- google books,https://books.google.com/books/about/Today_I_Feel_Silly_Other_Moods_That_Make.html?id=s_2GIF_c0T8C&source=kp_cover
The Missing Piece Meets the Big O  by Shel Silverstein- google books,https://books.google.com/books/about/The_Missing_Piece_The_Missing_Piece_Meet.html?id=jwxcEAAAQBAJ
"Lafcadio, the Lion Who Shot Back  by Shel Silverstein- google books",https://books.google.com/books/about/Lafcadio_the_Lion_Who_Shot_Back.html?id=lmeJRAAACAAJ
